ticket_id,issue_category,priority,ticket_text,suggested_response,sentiment,Resolution time,Resolution provided (technical)
T107,Delivery,Medium,Delivery agent came but didnt call me and left.,We regret this experience. A reattempt will be made within 24 hours.,Negative,1 day,Redelivery scheduled
T108,Refund,High,I cancelled order but refund not received yet pls check.,We have checked your request. Refund is initiated and will be credited shortly.,Neutral,2 days,Refund initiated after cancellation
T109,Technical,Medium,Website showing error while checkout.,Please try again after clearing cache or switching browser. Issue has been fixed.,Neutral,12 hours,Checkout bug resolved
T110,Billing,Low,Need invoice copy for my order.,You can download invoice from 'My Orders' section. Let us know if you need help.,Positive,1 day,Invoice download enabled
T111,Complaint,High,Product quality is very poor not worth money.,We are sorry for the inconvenience. You can return the product for full refund.,Negative,2 days,Return pickup initiated
T112,Account,High,My account suddenly logged out and now cant login.,Please reset your password using the link sent to your email.,Negative,1 day,Account access restored
T113,Delivery,Low,Order arrived today thanks!,We are glad your order reached you. Thank you for shopping with us.,Positive,0,No action needed
T114,Refund,Medium,Refund amount showing but not credited to bank.,Refunds may take 5-7 days. Kindly check with your bank if delayed.,Neutral,5 days,Refund tracking shared
T115,Billing,High,Charged twice for same product pls resolve asap.,We regret the issue. One transaction will be reversed within 2 days.,Negative,2 days,Duplicate charge reversed
T116,Technical,Low,Cant see my previous orders in app.,Please refresh or log out and login again. Issue should be resolved.,Neutral,1 day,Session refresh fix applied
T117,Complaint,Medium,Packaging was torn and item looked used.,We apologize for this. Replacement or refund can be arranged as per your preference.,Negative,2 days,Replacement initiated
T118,Account,Low,How do I delete my account?,You can request account deletion from settings or contact support for assistance.,Neutral,1 day,Account deletion request processed
T119,Delivery,High,Order delayed too much this is not acceptable.,We sincerely apologize. Your order has been prioritized and will be delivered soon.,Negative,1 day,Priority shipping applied
T120,Refund,Medium,Return done but refund still pending.,Refund will be processed after quality check within 3 days.,Neutral,3 days,QC verified and refund released
T121,Delivery,High,"My package hasn’t moved from the hub since 3 days, whats going on?",We apologize for the delay. We have escalated this with the courier and your order will be delivered within 48 hours.,Negative,2 days,Shipment escalated with logistics partner
T122,Refund,Medium,I returned the shoes but refund is not credited yet.,Thank you for your patience. The refund has been initiated and will reflect within 3-5 business days.,Neutral,3 days,Refund processed post return verification
T123,Billing,High,Payment got deducted but order didnt confirm.,We regret the inconvenience. The amount will be automatically refunded within 2-3 days.,Negative,3 days,Transaction rollback completed
T124,Technical,Low,App is lagging a lot after last update.,Please update to the latest version or reinstall the app. Our team has fixed this issue.,Neutral,1 day,Performance patch deployed
T125,Complaint,High,"Received damaged item, totally useless.",We sincerely apologize. A replacement has been arranged and pickup will be scheduled shortly.,Negative,2 days,Return and replacement initiated
T126,Account,Medium,Not receiving OTP on my number.,Please check your network and try again. We have resent the OTP.,Neutral,1 hour,OTP resend triggered
T127,Delivery,Medium,Delivery agent marked it delivered but I didnt get it.,We are sorry for this issue. We are investigating and will arrange redelivery if required.,Negative,2 days,Delivery dispute raised
T128,Refund,High,Cancelled order but refund still not processed.,We have checked your request and initiated the refund. It will reflect shortly.,Neutral,2 days,Refund initiated after cancellation
T129,Technical,Medium,Error showing while applying coupon code.,"Please ensure the coupon is valid. We have fixed the issue, kindly try again.",Neutral,12 hours,Coupon validation issue fixed
T130,Billing,Low,Need GST invoice for my purchase.,You can download the GST invoice from your orders section.,Positive,1 day,Invoice generated with GST details
T131,Complaint,High,"Product stopped working in 2 days, very bad quality.",We apologize for the inconvenience. A replacement or refund can be arranged.,Negative,2 days,Warranty claim processed
T132,Account,High,Account got locked suddenly pls unlock.,Your account has been unlocked. Please reset your password for security.,Negative,1 day,Account unlock and reset enforced
T133,Delivery,Low,Order came a bit late but okay.,Thank you for your understanding. We appreciate your patience.,Positive,0,No action needed
T134,Refund,Medium,Refund initiated but not showing in bank yet.,Refunds may take up to 5-7 days. Please check with your bank if delayed.,Neutral,5 days,Refund tracking ID shared
T135,Billing,High,Got charged extra for delivery why??,We will review your order and refund any extra charges if applicable.,Negative,2 days,Shipping charge adjusted
T136,Technical,Low,Search results not relevant in app.,We have improved our search algorithm. Please try again.,Neutral,1 day,Search indexing optimized
T137,Complaint,Medium,Item packaging was open when delivered.,We apologize for this. We can arrange a replacement if needed.,Negative,2 days,Replacement option provided
T138,Account,Low,How can I change my password?,You can change your password from account settings under security.,Neutral,1 day,Password update guidance provided
T139,Delivery,High,Order delayed again this is very annoying.,We understand your frustration. Your order is now prioritized for delivery.,Negative,1 day,Priority dispatch applied
T140,Refund,Medium,Returned product but refund still pending pls check.,Refund will be processed after inspection within 3 days.,Neutral,3 days,Quality check completed and refund released
T141,Delivery,High,"My order is delayed again, it keeps getting postponed.",We apologize for the inconvenience. Your order has been prioritized and will be delivered within 24 hours.,Negative,1 day,Priority delivery assigned
T142,Refund,Medium,I returned the item 5 days ago but refund not received yet.,Thank you for your patience. Your refund has been processed and will reflect in 2-3 business days.,Neutral,3 days,Refund processed after return verification
T143,Billing,High,Amount deducted but no order confirmation received.,We regret the inconvenience. The deducted amount will be refunded within 3 business days.,Negative,3 days,Payment reversal initiated
T144,Technical,Low,App is freezing when I try to open cart.,Please update or reinstall the app. The issue has been resolved in the latest version.,Neutral,1 day,App stability fix deployed
T145,Complaint,High,"Received a broken product, very disappointed.",We sincerely apologize. A replacement has been initiated and pickup will be scheduled soon.,Negative,2 days,Replacement and return arranged
T146,Account,Medium,Unable to login even after entering correct password.,Please reset your password using the 'Forgot Password' option. A reset link has been sent.,Negative,1 day,Password reset flow triggered
T147,Delivery,Medium,Delivery guy didnt even attempt delivery and marked failed.,We regret this experience. A reattempt will be scheduled within 24 hours.,Negative,1 day,Redelivery attempt scheduled
T148,Refund,Low,Got my refund today thanks!,We’re glad your issue is resolved. Thank you for your patience.,Positive,0,No action needed
T149,Technical,Medium,Website showing error while making payment.,Please try again after clearing cache or using another browser. The issue has been fixed.,Neutral,12 hours,Payment gateway issue resolved
T150,Billing,Low,Need help downloading my invoice.,You can download your invoice from the 'My Orders' section. Let us know if you need assistance.,Positive,1 day,Invoice download enabled
